ECF18015,SLC-2K,[1CE]K9F1G08U0M(90NM)#[1CE]K9F1G08U0A(90NM)
ECF10095,SLC-2K,[1CE]K9F1G08U0B(60NM)#[1CE]K9F1G08U0C(60NM)
ECF10015,SLC-2K,[1CE]K9F1G08U0D(42NM)
ECDED57A,MLC-8K,[1CE]K9LCG08U0A(27NM)#[2CE]K9HDG08U1A(27NM)#[4CE]K9PFG08U5A(27NM)
ECDED572,MLC-8K,[2CE]K9PFG08U5M(35NM)
ECDEA47E,MLC-8K,[1CE]K9GCGD8U0M#[2CE]K9LDGD8U1M#[4CE]K9HFGY8U5M
ECDEA47A,MLC-8K,[1CE]K9GCGD8U0A#[2CE]K9LDGY8U1A#[4CE]K9HFGY8U5A
ECDE98CE,TLC-8K,[1CE]K9ACGD8U0M(27NM)#[2CE]K9BDGD8U1M(27NM)#[4CE]K9CFGD8U5M(27NM)
ECDE9576,MLC-8K,[1CE]K9LCG08U0A(27NM)
ECDE5576,MLC-8K,[4CE]K9PFGD8U5M
ECDCC115,SLC-2K,[1CE]K9K4G08U0M(90NM)#[2CE]K9W8G08U1M(70NM)
ECDC14A5,MLC-2K,[1CE]K9G4G08U0B(60NM)
ECDC1425,MLC-2K,[1CE]K9G4G08U0M(90NM)#[1CE]K9G4G08U0A(60NM)
ECDC1095,SLC-2K,[1CE]K9F4G08U0M(70NM)#[1CE]K9F4G08U0A(60NM)#[1CE]K9F4G08U0B(60NM)#[1CE]K9F4G08U0C#[1CE]K9F4G08U0E#[2CE]K9K8G08U1M(70NM)#[2CE]K9K8G08U1A(60NM)#[2CE]K9K8G08U1C#[2CE]K9K8G08U1E
ECDAC115,SLC-2K,[1CE]K9K2G08U0M(90NM)#[2CE]K9W4G08U1M(90NM)
ECDA8015,SLC-2K,[1CE]K9F2G08U0M(90NM)#[1CE]K9K2G08U0A(60NM)
ECDA1425,MLC-2K,[1CE]K9G2G08U0M(60NM)#[2CE]K9L4G08U1M(60NM)#[4CE]K9H8G08U5M(60NM)
ECDA1095,SLC-2K,[1CE]K9F2G08U0A(60NM)#[1CE]K9F2G08U0B(60NM)
ECD7D529,MLC-4K,[1CE]K9LBG08U0D(42NM)#[2CE]K9HCG08U1D(42NM)#[4CE]K9PDG08U5D(42NM)
